year,topic_0_words
1985,"[('gas', 0.0041658734), ('chemicals', 0.0039244546), ('industries', 0.003208773), ('jaichandra', 0.0028018856), ('energy', 0.002478551), ('telephone', 0.0023868936), ('capacity', 0.0020687727), ('schools', 0.0018940573)]"
1997,"[('energy', 0.003892997), ('ram', 0.0029296568), ('train', 0.002782612), ('distribution', 0.0026671928), ('paswan', 0.0024577642), ('poor', 0.002099187)]"
1996,"[('arbitration', 0.0043672165), ('sugar', 0.0029582796), ('workers', 0.0024548033), ('overnm', 0.0023298573)]"
1996,"[('maharaj', 0.0027088195), ('satpal', 0.0024554248), ('forests', 0.0023135152), ('environment', 0.002134285)]"
1969,"[('trade', 0.0077581056), ('company', 0.003499802), ('industries', 0.0021678684), ('agrahayana', 0.002064858), ('ahmed', 0.0019221583)]"
1967,"[('kashmir', 0.00456009), ('situation', 0.0024006527), ('desai', 0.0022706892), ('supply', 0.0020928646), ('agrahayana', 0.0018232816)]"
1973,"[('steel', 0.004023583), ('soviet', 0.0031868408), ('countries', 0.0026870696), ('defence', 0.0024310162), ('situation', 0.0023143305), ('international', 0.0023054394), ('world', 0.0022933471), ('asian', 0.00213556), ('security', 0.0021224176)]"
1987,"[('duty', 0.011816635), ('tax', 0.003637832), ('excise', 0.0026005954), ('indu', 0.0019849595), ('import', 0.0019840507)]"
1993,"[('hospital', 0.011193153), ('farmers', 0.0022851021), ('medical', 0.0018071936), ('college', 0.0014588002)]"
1952,"[('medical', 0.0037956475), ('population', 0.002709989)]"
1952,"[('detention', 0.009588172), ('preventive', 0.004194845), ('advisory', 0.0029978668), ('detenu', 0.0025594763)]"
1952,"[('ram', 0.0026791343), ('kidwai', 0.0025761789), ('shastri', 0.0017744256), ('whole', 0.001585608), ('subsidy', 0.0015707335)]"
1952,"[('planning', 0.0051346472), ('assam', 0.0024663305), ('resources', 0.0022531732), ('payment', 0.0020861104)]"
1952,"[('detention', 0.0060745073), ('congress', 0.0049056755), ('preventive', 0.004896222), ('measure', 0.0024225155), ('freedom', 0.0023389761)]"
1952,"[('defence', 0.0037108595), ('expenditure', 0.0035504182), ('whole', 0.0019005444), ('side', 0.0016958981)]"
1952,"[('sum', 0.00309326), ('financial', 0.0027387282), ('capital', 0.002498322), ('tax', 0.0022490337)]"
1952,"[('prices', 0.003347167), ('position', 0.0026269204), ('commerce', 0.002489754), ('valley', 0.0020847314)]"
1952,"[('congress', 0.0039469306), ('committees', 0.0036127144), ('points', 0.003272215), ('shastri', 0.0028264173), ('administration', 0.002641941), ('tax', 0.002445886), ('kidwai', 0.0022916214)]"
1952,"[('detention', 0.008321888), ('preventive', 0.0049586934), ('police', 0.003934129)]"
1952,"[('kidwai', 0.002881281), ('cut', 0.002268301), ('class', 0.0021669099), ('regrouping', 0.0020534196), ('employees', 0.0017544939), ('speak', 0.0017023287)]"
1952,"[('detention', 0.013232054), ('grounds', 0.005711142), ('preventive', 0.0043069227)]"
1952,"[('class', 0.0029059888), ('workers', 0.0024645492), ('administration', 0.001852169), ('pay', 0.0018464627), ('train', 0.0016720701)]"
1952,"[('detention', 0.010068312), ('advisory', 0.004308161), ('detenu', 0.0037998743)]"
1952,"[('linguistic', 0.008427003), ('provinces', 0.005682777), ('andhra', 0.00427282), ('province', 0.0041856635), ('language', 0.0033189405), ('malaviya', 0.0028368956)]"
1952,"[('kashmir', 0.03022452), ('jammu', 0.00537141), ('constitution', 0.0045737997), ('pakistan', 0.0027063617)]"
1952,"[('tax', 0.0044716666), ('pakistan', 0.002964956), ('constitution', 0.0029329234), ('commerce', 0.0028729273), ('countries', 0.0027310664), ('sales', 0.0027210354), ('essential', 0.0025570386)]"
1952,"[('air', 0.014267093), ('auxiliary', 0.010247454), ('forces', 0.008326882), ('tea', 0.004650047), ('reserve', 0.0045553087), ('called', 0.004361545), ('defence', 0.0039147614), ('employer', 0.0034539595)]"
1952,"[('workers', 0.0032553016), ('labour', 0.0030904575), ('commerce', 0.0023600433), ('construction', 0.0022348454), ('pay', 0.002218358)]"
1952,"[('incometax', 0.004136655), ('katju', 0.0028924765), ('income', 0.0028280923), ('shastri', 0.0026700366), ('army', 0.002331118), ('provisions', 0.0023187904), ('transport', 0.0022589068)]"
1952,"[('defence', 0.0117978025), ('army', 0.011558089), ('expenditure', 0.0044216313), ('karmarkar', 0.00300371), ('forces', 0.0028031284), ('war', 0.002736173)]"
1952,"[('air', 0.00519596), ('military', 0.003784003), ('army', 0.0032681972), ('assembly', 0.003128497), ('armed', 0.0030737), ('forces', 0.0029040559), ('criminal', 0.0028303082), ('unlawful', 0.0028247032)]"
1952,"[('defence', 0.0044509755), ('world', 0.0027165883), ('peace', 0.0024555495), ('army', 0.0021901925), ('gopalaswami', 0.0021738973), ('officers', 0.0020278064)]"
1952,"[('powers', 0.0052469303), ('forces', 0.003803695), ('inquiry', 0.0034725943), ('commerce', 0.0030868452), ('use', 0.0030295872), ('provisions', 0.0028747504), ('commissions', 0.0027950676)]"
1952,"[('control', 0.0063102925), ('controls', 0.006129336), ('prices', 0.005262295), ('property', 0.005227399), ('might', 0.0027169415)]"
1952,"[('world', 0.0042246203), ('countries', 0.0029787363), ('united', 0.0023421822), ('nations', 0.0022287744), ('nehru', 0.0019288373)]"
1952,"[('linguistic', 0.008295234), ('provinces', 0.005022823), ('congress', 0.0047848197), ('province', 0.0043516993), ('resolution', 0.0036571815), ('andhra', 0.0035903116), ('language', 0.0034864421), ('madras', 0.0029630945), ('mysore', 0.0028177174)]"
1952,"[('contracts', 0.005313964), ('association', 0.0037534924), ('rules', 0.0030251555), ('associations', 0.0029755982), ('trading', 0.0028947599), ('body', 0.0028772324)]"
1952,"[('ram', 0.0057074865), ('narayan', 0.0052315467), ('east', 0.0046997997), ('prasad', 0.0045718574), ('chandra', 0.004274026), ('north', 0.003932919), ('south', 0.0035545023), ('reserved', 0.0035269407), ('nath', 0.003167377), ('pandit', 0.0031404365)]"
1952,"[('scheduled', 0.003428624), ('castes', 0.0032075297), ('university', 0.0025723123), ('students', 0.002524974), ('satish', 0.0022339004), ('universities', 0.0021209922)]"
1952,"[('police', 0.00401886), ('man', 0.0033870356), ('chandra', 0.0023719142), ('offence', 0.0023298236), ('corruption', 0.0023073433)]"
1952,"[('election', 0.0061426656), ('conventions', 0.004379281), ('parliament', 0.003328674), ('traditions', 0.0027371324), ('pandit', 0.0025128021), ('interests', 0.002458059)]"
1952,"[('tea', 0.011057701), ('police', 0.008599432), ('agreement', 0.003770758), ('powers', 0.0034193567), ('schedule', 0.00327569)]"
1952,"[('parliament', 0.0033508902), ('motions', 0.002751617), ('rules', 0.002031797)]"
1952,"[('industries', 0.009397127), ('jute', 0.0049800915), ('sum', 0.003001421), ('trade', 0.0027596776), ('malaviya', 0.0026834162), ('commerce', 0.0026466819)]"
1952,"[('commerce', 0.003868325), ('prices', 0.0031173113), ('parliament', 0.0028298008), ('krishnamachari', 0.0026794234), ('tariff', 0.0024752044), ('duties', 0.0021885487)]"
1952,"[('refugees', 0.005416636), ('pakistan', 0.004666683), ('commerce', 0.0045112097), ('rehabilitation', 0.003984139), ('problem', 0.0039759697), ('displaced', 0.0027115522)]"
1952,"[('companies', 0.004335286), ('calcutta', 0.0036689646), ('company', 0.0034630813), ('karmarkar', 0.0033109304), ('capital', 0.0024845472)]"
1952,"[('pakistan', 0.0054804618), ('refugees', 0.0036552355), ('rehabilitation', 0.0036492744), ('east', 0.0029402291), ('problem', 0.0028124703)]"
1952,"[('detention', 0.008787186), ('preventive', 0.00423302), ('amendments', 0.0030975495), ('parliament', 0.0023654846)]"
1952,"[('famine', 0.0024673885), ('south', 0.0017879888), ('commerce', 0.0017472064), ('prices', 0.001724658), ('amendments', 0.0016273728), ('conditions', 0.001604103)]"
1952,"[('labour', 0.010315757), ('labourers', 0.0038038322), ('trade', 0.0034632103), ('workers', 0.0029807175), ('legislation', 0.0022900128)]"
1952,"[('defence', 0.0036204676), ('congress', 0.0023012515), ('kidwai', 0.0019522408), ('possible', 0.0019033937), ('army', 0.001880464), ('prices', 0.0018160841), ('parts', 0.0015999309)]"
1952,"[('valley', 0.0039539933), ('irrigation', 0.0031363904), ('planning', 0.0029550558), ('damodar', 0.0026207438), ('commerce', 0.0020736693)]"
1952,"[('kashmir', 0.0022620824), ('side', 0.0021768082), ('pakistan', 0.002143808), ('congress', 0.0020779658), ('famine', 0.002015383)]"
1952,"[('detention', 0.007764203), ('commerce', 0.0031909458), ('preventive', 0.0030845234), ('labour', 0.0024885791), ('tea', 0.0020805167), ('man', 0.0019131396)]"
1952,"[('war', 0.0023055396), ('side', 0.0022904552), ('opposition', 0.002109167), ('might', 0.0020488892), ('kashmir', 0.0020182794)]"
1952,"[('detention', 0.005062524), ('preventive', 0.0028387075), ('man', 0.00241149), ('katju', 0.0019706595)]"
1952,"[('claims', 0.007703353), ('displaced', 0.0065242513), ('refugees', 0.004129373), ('kidwai', 0.0037529215), ('houses', 0.0034447839), ('pakistan', 0.0033462862), ('months', 0.0026376545), ('property', 0.002540934), ('ram', 0.0023072518)]"
