year,topic_0_words,file_name
1969.0,"[('trade', 0.0060888734), ('development', 0.0032416172), ('foreign', 0.0031229001), ('railway', 0.002555723), ('company', 0.0022264363), ('production', 0.002178673)]",lsd-04-09-17-12-1969
1967.0,"[('kashmir', 0.005507056), ('finance', 0.0036579124), ('agrahayana', 0.0022510919), ('development', 0.0021272753), ('irrigation', 0.0020249651), ('works', 0.0020239227)]",lsd-04_03_30-11-1967
1973.0,"[('steel', 0.0058663627), ('soviet', 0.0033684094), ('world', 0.0033650296), ('security', 0.0027997424), ('foreign', 0.0027806344), ('labour', 0.0026635735), ('asian', 0.0026570654), ('international', 0.002474323), ('defence', 0.0024434847)]",lsd-05_09_20-12-1973
1987.0,"[('duty', 0.013173037), ('tax', 0.0049507236), ('excise', 0.0030694224), ('import', 0.0022485647)]",lsd-08_08_28-02-1987
1993.0,"[('hospital', 0.014800847), ('finance', 0.0025893054), ('rural', 0.0020955787), ('coal', 0.0019531902), ('farmer', 0.0018767379)]",lsd-10th-6th-22-04-1993
1952.0,"[('health', 0.007763912), ('medical', 0.0037526556), ('railway', 0.0025194853), ('population', 0.0022332221)]",lsd_01_01_01-07-1952
1952.0,"[('detention', 0.0098787835), ('preventive', 0.0051474636), ('advisory', 0.0033404059), ('detenu', 0.0025152355), ('police', 0.002416914)]",lsd_01_01_01-08-1952
1952.0,"[('kidwai', 0.002632773), ('shastri', 0.0023122968), ('railway', 0.0019088029), ('bombay', 0.0017453625), ('railway', 0.0015938035), ('finance', 0.0015499091), ('foreign', 0.0015015029)]",lsd_01_01_02-06_1952
1952.0,"[('planning', 0.005446438), ('education', 0.003511234), ('finance', 0.0034513562), ('resources', 0.0024019405), ('tax', 0.002154039)]",lsd_01_01_02-07-1952
1952.0,"[('detention', 0.0056272554), ('preventive', 0.0045450516), ('measure', 0.0029347166), ('freedom', 0.002555676), ('side', 0.002545944), ('parliament', 0.0023837734)]",lsd_01_01_02-08-1952
1952.0,"[('finance', 0.004398199), ('defence', 0.0031167339), ('expenditure', 0.0024484869), ('education', 0.0019464622), ('land', 0.001942178)]",lsd_01_01_03-06_1952
1952.0,"[('finance', 0.0064093303), ('foreign', 0.003084549), ('finance', 0.0024632504)]",lsd_01_01_03-07-1952
1952.0,"[('price', 0.002762339), ('position', 0.0026817506), ('production', 0.0025992037), ('planning', 0.0022140814)]",lsd_01_01_04-06_1952
1952.0,"[('points', 0.0036071066), ('committees', 0.0034100947), ('shastri', 0.0029888393), ('tax', 0.0027101056), ('essential', 0.002660479), ('planning', 0.002640511)]",lsd_01_01_04-07-1952
1952.0,"[('detention', 0.0067690723), ('preventive', 0.004552425), ('police', 0.0027911873), ('whole', 0.0025586656)]",lsd_01_01_04-08-1952
1952.0,"[('railway', 0.010702419), ('kidwai', 0.005066755), ('railway', 0.0039811023), ('bengal', 0.0023839842), ('cut', 0.0020033636), ('class', 0.001855126)]",lsd_01_01_05-06_1952
1952.0,"[('detention', 0.013084298), ('grounds', 0.005773641), ('preventive', 0.004130742), ('detenu', 0.004036079), ('court', 0.003372865)]",lsd_01_01_05-08-1952
1952.0,"[('railway', 0.008102166), ('workers', 0.0033454257), ('administration', 0.0028382996), ('railway', 0.0027905458), ('class', 0.0019735345)]",lsd_01_01_06-06-1952
1952.0,"[('detention', 0.013446253), ('advisory', 0.007254894), ('preventive', 0.0054098335), ('court', 0.005040508), ('detenu', 0.0046172547)]",lsd_01_01_06-08-1952
1952.0,"[('provinces', 0.0077574686), ('linguistic', 0.007142564), ('language', 0.004127288), ('province', 0.0035308115), ('malaviya', 0.0033056617), ('bengal', 0.0031433257)]",lsd_01_01_07-07-1952
1952.0,"[('kashmir', 0.028330138), ('jammu', 0.0060973717), ('pakistan', 0.003457014), ('land', 0.0028411227), ('united', 0.002195)]",lsd_01_01_07-08-1952
